id,revenue
3001,8970780.0
3002,1245184.1
3003,11916449.0
3004,4501955.5
3005,868669.25
3006,2512709.8
3007,1309766.9
3008,32003164.0
3009,18071084.0
3010,475963680.0
3011,393445.34
3012,89015.83
3013,26801940.0
3014,318789.34
3015,23618952.0
3016,45945.777
3017,66808170.0
3018,163530480.0
3019,10988840.0
3020,468178080.0
3021,24315168.0
3022,31127344.0
3023,99244.516
3024,9201751.0
3025,135724.52
3026,107836640.0
3027,7246312.0
3028,90493050.0
3029,425432.97
3030,6157400.0
3031,3952727.2
3032,3154813.8
3033,292450.7
3034,155505.38
3035,661447.44
3036,46134070.0
3037,68589080.0
3038,66712028.0
3039,1705551.4
3040,1774778.8
3041,23745520.0
3042,3747538.5
3043,8321354.5
3044,2025558.6
3045,751154800.0
3046,2560846.8
3047,4397898.0
3048,30658968.0
3049,43118144.0
3050,52494070.0
3051,762505.2
3052,18073908.0
3053,203430.66
3054,1280936.4
3055,52546764.0
3056,63753.418
3057,7294744.0
3058,265263070.0
3059,1661021.1
3060,88702140.0
3061,29626668.0
3062,26713392.0
3063,3589079.8
3064,12471621.0
3065,51505948.0
3066,13323306.0
3067,295776.16
3068,92403440.0
3069,251403870.0
3070,799581.94
3071,4102318.8
3072,374913060.0
3073,1844337.8
3074,702522.94
3075,108428160.0
3076,69894936.0
3077,3858928.0
3078,108659620.0
3079,45045524.0
3080,241176290.0
3081,11013180.0
3082,4964601.5
3083,3314383.5
3084,1004879.56
3085,21005488.0
3086,97229230.0
3087,118927.57
3088,244444.77
3089,245944.83
3090,48343480.0
3091,13170446.0
3092,3440663.2
3093,218142850.0
3094,151110930.0
3095,25000412.0
3096,5901151.5
3097,853688400.0
3098,28953120.0
3099,53199948.0
3100,9769465.0
3101,17627836.0
3102,205740.14
3103,1753984.8
3104,2301870.0
3105,80509980.0
3106,62146404.0
3107,24816172.0
3108,5684235.5
3109,19154628.0
3110,327149100.0
3111,4153071.2
3112,68963.55
3113,2924645.8
3114,19612232.0
3115,10864339.0
3116,5346760.0
3117,323619.38
3118,1370858.0
3119,338474500.0
3120,14018690.0
3121,686647.7
3122,4090883.5
3123,18266912.0
3124,1406782.5
3125,565136.0
3126,36393150.0
3127,9862007.0
3128,31121704.0
3129,196171070.0
3130,12851521.0
3131,438038.62
3132,8692963.0
3133,1976739.2
3134,10501817.0
3135,2746104.0
3136,4462603.0
3137,11975645.0
3138,1317548.1
3139,14741003.0
3140,162270260.0
